objectid,object_location,,image_back,image_small,image_thumb,sortid,identifier,title,image_alt_text,fullname,firstname,familyname,occupation,creator,date,date_note,date_coverage,date_lifespan,description,note_sources,note_internal,subject,rights,rightsstatement,rightsstatement,location,language,format,source,latitude,longitude,type,youtubeid,vimeoid,object_transcript
f1964_1485,https://digimuseum.site/vpimages/f1964_1485_a.jpg,https://digimuseum.site/vpimages/f1964_1485_a_th.jpg,https://digimuseum.site/vpimages/f1964_1485_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1485_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1485_a_th.jpg,,f1964_1485,"Götlin, Gustaf V.",,Gustaf V. Götlin,,Götlin,Överläkare,Fredrique Holmstedt,1896,ca,,,Överläkare vid Vadstena Hospital,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1486,https://digimuseum.site/vpimages/f1964_1486_a.jpg,https://digimuseum.site/vpimages/f1964_1486_a_th.jpg,https://digimuseum.site/vpimages/f1964_1486_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1486_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1486_a_th.jpg,,f1964_1486,"Nehrman, Johan H.",,Johan H. Nehrman,,Nehrman,Målarmästare; Teckningslärare,Fredrique Holmstedt,1895,not.,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1487,https://digimuseum.site/vpimages/f1964_1487_a.jpg,https://digimuseum.site/vpimages/f1964_1487_a_th.jpg,https://digimuseum.site/vpimages/f1964_1487_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1487_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1487_a_th.jpg,,f1964_1487,"Nordsten, J.A.",,J.A. Nordsten,,Nordsten,Handlande; Rådman,A. Jonsson,1872,ca,,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1488,https://digimuseum.site/vpimages/f1964_1488_a.jpg,https://digimuseum.site/vpimages/f1964_1488_a_th.jpg,https://digimuseum.site/vpimages/f1964_1488_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1488_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1488_a_th.jpg,,f1964_1488,"Fjetterström, Gustaf",,Gustaf Fjetterström,,Fjetterström,Landsarkivarie,Fredrik Borgstedt,1907,ca,1907,-1877,"Amanuens vid Vadstena Landsarkiv från 1901. Biografisk artikel skriven av Werner Pursche. Påskriftens datering till 1895 är för tidig, GF ej 18 år.",,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1489,https://digimuseum.site/vpimages/f1964_1489_a.jpg,https://digimuseum.site/vpimages/f1964_1489_a_th.jpg,https://digimuseum.site/vpimages/f1964_1489_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1489_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1489_a_th.jpg,,f1964_1489,Petterson,,Petterson,,Petterson,Gästgivare,C.D.,1868,ca,1868,,,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1490,https://digimuseum.site/vpimages/f1964_1490_a.jpg,https://digimuseum.site/vpimages/f1964_1490_a_th.jpg,https://digimuseum.site/vpimages/f1964_1490_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1490_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1490_a_th.jpg,,f1964_1490,"Holmstedt, Fredrika Bernhardina",,Fredrika Bernhardina Holmstedt,,Holmstedt,Fotograf,Fredrique Holmstedt,1894,ca,1894,1865-1922,Fredrika Bernhardina Holmstedt hade Fotoatelier i Vadstena 1893-1898 under namnet Fredrique Holmstedt. Porträtt av sig själv.,,,,Föreningen Gamla Vadstena,PDM,,Vadstena,swe,image/jpeg,Föreningen Gamla Vadstena,"58,4493607041239","14,8907069217978",Image;StillImage,,,
f1964_1500,https://digimuseum.site/vpimages/f1964_1500_a.jpg,https://digimuseum.site/vpimages/f1964_1500_a_th.jpg,https://digimuseum.site/vpimages/f1964_1500_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1500_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1500_a_th.jpg,,f1964_1500,"Mauritzon, Johan",,Johan Mauritzon,,Mauritzon,Handlande; Rådman,Okänd,1868,ca,1868,,,,,,,,,,,,,,,,,,
f1964_1501,https://digimuseum.site/vpimages/f1964_1501_a.jpg,https://digimuseum.site/vpimages/f1964_1501_a_th.jpg,https://digimuseum.site/vpimages/f1964_1501_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1501_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1501_a_th.jpg,,f1964_1501,"Nehrman, Johan H.",,Johan H. Nehrman,,Nehrman,Målarmästare; Teckningslärare,Okänd,1863,not.,,1834-1905,Eg. John (Janne) Herman Nehrman,,,,,,,,,,,,,,,,
f1964_1502,https://digimuseum.site/vpimages/f1964_1502_a.jpg,https://digimuseum.site/vpimages/f1964_1502_a_th.jpg,https://digimuseum.site/vpimages/f1964_1502_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1502_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1502_a_th.jpg,,f1964_1502,"Nilsson, Ander",,Anders Nilsson,,Nilsson,Brevbärare,C.H. Gustafsson,1885,ca,1881-1889,,,,,,,,,,,,,,,,,,
f1964_1503,https://digimuseum.site/vpimages/f1964_1503_a.jpg,https://digimuseum.site/vpimages/f1964_1503_a_th.jpg,https://digimuseum.site/vpimages/f1964_1503_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1503_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1503_a_th.jpg,,f1964_1503,"Bergström, Jöns",,Jöns Bergström,,Bergström,,Swen Swensson,1896,ca,1894-1899,,,,,,,,,,,,,,,,,,
f1964_1504,https://digimuseum.site/vpimages/f1964_1504_a.jpg,https://digimuseum.site/vpimages/f1964_1504_a_th.jpg,https://digimuseum.site/vpimages/f1964_1504_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1504_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1504_a_th.jpg,,f1964_1504,"Hwarfner, Adolf",,Adolf Hwarfner,,Hwarfner,Hospitalspredikant,Maria Tesch,1885,ca,1881-1889,,,,,,,,,,,,,,,,,,
f1964_1505,https://digimuseum.site/vpimages/f1964_1505_a.jpg,https://digimuseum.site/vpimages/f1964_1505_a_th.jpg,https://digimuseum.site/vpimages/f1964_1505_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1505_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1505_a_th.jpg,,f1964_1505,"Björlingsson, Knut",,Knut Björlingsson,,Björlingsson,Postmästare,Maria Tesch,1896,not.,,,,,,,,,,,,,,,,,,,
f1964_1506,https://digimuseum.site/vpimages/f1964_1506_a.jpg,https://digimuseum.site/vpimages/f1964_1506_a_th.jpg,https://digimuseum.site/vpimages/f1964_1506_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1506_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1506_a_th.jpg,,f1964_1506,"Nehrman, John",,John Nehrman,,Nehrman,Godsexpeditör; Flanerare,Fredrique Holmstedt,1894,not.,,,,,,,,,,,,,,,,,,,
f1964_1507,https://digimuseum.site/vpimages/f1964_1507_a.jpg,https://digimuseum.site/vpimages/f1964_1507_a_th.jpg,https://digimuseum.site/vpimages/f1964_1507_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1507_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1507_a_th.jpg,,f1964_1507,"Andersson, Fredrik Axel",,Fredrik Axel Andersson,,Andersson,Sjökapten; Skeppsklarerare,Gösta Florman,1886,ca,1885-1887,,,,Datering pga GF filial Göteborg,,,,,,,,,,,,,,
f1964_1508,https://digimuseum.site/vpimages/f1964_1508_a.jpg,https://digimuseum.site/vpimages/f1964_1508_a_th.jpg,https://digimuseum.site/vpimages/f1964_1508_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1508_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1508_a_th.jpg,,f1964_1508,H.S. Odhner,,H.S. Odhner,,Odhner,Handlande; Kyrkvärd,C.H. Gustafsson,1885,ca,1881-1889,,,,,,,,,,,,,,,,,,
f1964_1509,https://digimuseum.site/vpimages/f1964_1509_a.jpg,https://digimuseum.site/vpimages/f1964_1509_a_th.jpg,https://digimuseum.site/vpimages/f1964_1509_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1509_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1509_a_th.jpg,,f1964_1509,"Björlingsson, Knut",,Knut Björlingsson,,Björlingsson,Postmästare,Maria Tesch,1893,ca,1881-1889,,,,,,,,,,,,,,,,,,
f1964_1510,https://digimuseum.site/vpimages/f1964_1510_a.jpg,https://digimuseum.site/vpimages/f1964_1510_a_th.jpg,https://digimuseum.site/vpimages/f1964_1510_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1510_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1510_a_th.jpg,,f1964_1510,"Dahlqvist, Lovisa",,Lovisa Dahlqvist,,Dahlqvist,Brödförsäljerska,Anders Andersson,1876,ca,1873-1879,,,,,,,,,,,,,,,,,,
f1964_1511,https://digimuseum.site/vpimages/f1964_1511_a.jpg,https://digimuseum.site/vpimages/f1964_1511_a_th.jpg,https://digimuseum.site/vpimages/f1964_1511_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1511_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1511_a_th.jpg,,f1964_1511,"Larsson, Ida",,"Ida Larsson ""Lärkan""",,Larsson,,Swen Swensson,1896,ca,1894-1899,,,,,,,,,,,,,,,,,,
f1964_1512,https://digimuseum.site/vpimages/f1964_1512_a.jpg,https://digimuseum.site/vpimages/f1964_1512_a_th.jpg,https://digimuseum.site/vpimages/f1964_1512_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1512_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1512_a_th.jpg,,f1964_1512,"Berggren, Bror",,Bror Berggren,,Berggren,Grosshandlare,Gösta Florman,1882,ca,1877-1885,,,,,,,,,,,,,,,,,,
f1964_1513,https://digimuseum.site/vpimages/f1964_1513_a.jpg,https://digimuseum.site/vpimages/f1964_1513_a_th.jpg,https://digimuseum.site/vpimages/f1964_1513_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1513_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1513_a_th.jpg,,f1964_1513,"Andersson, John",,John Andersson,,Andersson,Handlande,Anders Andersson,1875,ca,1873-1879,,,,,,,,,,,,,,,,,,
f1964_1514,https://digimuseum.site/vpimages/f1964_1514_a.jpg,https://digimuseum.site/vpimages/f1964_1514_a_th.jpg,https://digimuseum.site/vpimages/f1964_1514_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1514_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1514_a_th.jpg,,f1964_1514,"Larsson, Anders Fredrik",,Anders Fredrik Larsson,,Larsson,Källarmästare,Okänd,1868,ca,1865-1869,,,,,,,,,,,,,,,,,,
f1964_1515,https://digimuseum.site/vpimages/f1964_1515_a.jpg,https://digimuseum.site/vpimages/f1964_1515_a_th.jpg,https://digimuseum.site/vpimages/f1964_1515_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1515_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1515_a_th.jpg,,f1964_1515,"Björck, Carl Oscar",,Carl Oscar Björck,,Björck,Hamnfogde,Anders Andersson,1877,ca,1873-1879,1814-1878,,BiS f 1814,,,,,,,,,,,,,,,
f1964_1516,https://digimuseum.site/vpimages/f1964_1516_a.jpg,https://digimuseum.site/vpimages/f1964_1516_a_th.jpg,https://digimuseum.site/vpimages/f1964_1516_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1516_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1516_a_th.jpg,,f1964_1516,"Mauritzon, Carolina",,Carolina Mauritzon,,Mauritzon,,Okänd,1867,ca,1864-1869,,G.m. handlanden Johan Mauritzon,,,,,,,,,,,,,,,,
f1964_1517,https://digimuseum.site/vpimages/f1964_1517_a.jpg,https://digimuseum.site/vpimages/f1964_1517_a_th.jpg,https://digimuseum.site/vpimages/f1964_1517_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1517_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1517_a_th.jpg,,f1964_1517,"Ekdahl, August",,August Ekdahl,,Ekdahl,Musikdirektör,Okänd,1866,ca,1864-1869,,,,,,,,,,,,,,,,,,
f1964_1518,https://digimuseum.site/vpimages/f1964_1518_a.jpg,https://digimuseum.site/vpimages/f1964_1518_a_th.jpg,https://digimuseum.site/vpimages/f1964_1518_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1518_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1518_a_th.jpg,,f1964_1518,"Bruzelli, C.",,C. Bruzelli,,Bruzelli,,Okänd,1867,ca,1863-1868,,"Påskrift: ""Rådmannen i W - fabrikören CW Bruzelli; B. litade så på borgmästaren Öhrström att han utan genomläsning underskref sitt namn under de handl. som från borgm. honom tillsändes. Ö vann derigenom ett vad med Rådm(?) Regnstrand, som gällde att Bruzelli skulle underskrifva sin egen dödsdom. Domen underskrefs ock av B. utan genomläsning. Nästa gång skämtades mycket derom men när B fick vara med om årsdagen (av sin egen begrafning)(?) blef allt bra.""",,,,,,,,,,,,,,,,
f1964_1521,https://digimuseum.site/vpimages/f1964_1521_a.jpg,https://digimuseum.site/vpimages/f1964_1521_a_th.jpg,https://digimuseum.site/vpimages/f1964_1521_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1521_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1521_a_th.jpg,,f1964_1521,Beckman,,Beckman,,Beckman,Fabrikör; Rådman,Okänd,1873,ca,1870-1875,,,,,,,,,,,,,,,,,,
f1964_1522,https://digimuseum.site/vpimages/f1964_1522_a.jpg,https://digimuseum.site/vpimages/f1964_1522_a_th.jpg,https://digimuseum.site/vpimages/f1964_1522_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1522_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1522_a_th.jpg,,f1964_1522,"Anjou, Inga Maria",,Inga Maria Anjou,,Anjou,Fabrikör,Okänd,1970,ca,1868-1872,,"G.m. stadsläkare Anjou, f. Molin",,,,,,,,,,,,,,,,
f1964_1523,https://digimuseum.site/vpimages/f1964_1523_a.jpg,https://digimuseum.site/vpimages/f1964_1523_a_th.jpg,https://digimuseum.site/vpimages/f1964_1523_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1523_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1523_a_th.jpg,,f1964_1523,"Bergenstråhle, Henrik",,Henrik Bergenstråhle,,Bergenstråhle,Lantbrukare,Okänd,1912,ca,1908-1918,1846-1925,,,,,,,,,,,,,,,,,
f1964_1524,https://digimuseum.site/vpimages/f1964_1524_a.jpg,https://digimuseum.site/vpimages/f1964_1524_a_th.jpg,https://digimuseum.site/vpimages/f1964_1524_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1524_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1524_a_th.jpg,,f1964_1524,"Drotz, Anna",,Anna Drotz,,Drotz,Hospitalssköterska,Carl Larsson,1895,ca,1883-1899,,,,,,,,,,,,,,,,,,
f1964_1525,https://digimuseum.site/vpimages/f1964_1525_a.jpg,https://digimuseum.site/vpimages/f1964_1525_a_th.jpg,https://digimuseum.site/vpimages/f1964_1525_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1525_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1525_a_th.jpg,,f1964_1525,"Bursie, Fredrik Bursie",,Otto Fredrik Bursie,,Bursie,Läroverkskollega; Fil. dr.,Okänd,1873,ca,1873-1874,1871-1874,,,,,,,,,,,,,,,,,
f1964_1526,https://digimuseum.site/vpimages/f1964_1526_a.jpg,https://digimuseum.site/vpimages/f1964_1526_a_th.jpg,https://digimuseum.site/vpimages/f1964_1526_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1526_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1526_a_th.jpg,,f1964_1526,"Dahlqvist, Lovisa",,"""Bröd"" Lovisa Dahlqvist",,Dahlqvist,Brödförsäljerska,Okänd,1869,ca,1868-1870,,,,,,,,,,,,,,,,,,
f1964_1527,https://digimuseum.site/vpimages/f1964_1527_a.jpg,https://digimuseum.site/vpimages/f1964_1527_a_th.jpg,https://digimuseum.site/vpimages/f1964_1527_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1527_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1527_a_th.jpg,,f1964_1527,"Brandt, Christoffer",,Christoffer Brandt,,Brandt,Skräddare; f.d. Korpral,Okänd,1896,ca,,1833-1899,,,,,,,,,,,,,,,,,
f1964_1528,https://digimuseum.site/vpimages/f1964_1528_a.jpg,https://digimuseum.site/vpimages/f1964_1528_a_th.jpg,https://digimuseum.site/vpimages/f1964_1528_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1528_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1528_a_th.jpg,,f1964_1528,"Dahl, Jakob August ",,Jakob August Dahl,,Dahl,Läroverkslärare,Okänd,1867,ca,1865-1869,1832-1887,Läroverkslärare 1861-1867,,,,,,,,,,,,,,,,
f1964_1529,https://digimuseum.site/vpimages/f1964_1529_a.jpg,https://digimuseum.site/vpimages/f1964_1529_a_th.jpg,https://digimuseum.site/vpimages/f1964_1529_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1529_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1529_a_th.jpg,,f1964_1529,"Bergström, Agnes",,Agnes Bergström,,Bergström,,Swen Swensson,1897,ca,1894-1899,,,,,,,,,,,,,,,,,,
f1964_1530,https://digimuseum.site/vpimages/f1964_1530_a.jpg,https://digimuseum.site/vpimages/f1964_1530_a_th.jpg,https://digimuseum.site/vpimages/f1964_1530_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1530_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1530_a_th.jpg,,f1964_1530,"Bergman, Ida",,Ida Bergman,,Bergman,,Okänd,1868,ca,1866-1869,,G.m. handl. Carl Emil Bergman; f. Westlund,,,,,,,,,,,,,,,,
f1964_1531,https://digimuseum.site/vpimages/f1964_1531_a.jpg,https://digimuseum.site/vpimages/f1964_1531_a_th.jpg,https://digimuseum.site/vpimages/f1964_1531_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1531_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1531_a_th.jpg,,f1964_1531,"Bergdahl, J. Gustaf",,J. Gustaf Bergdahl,,Bergdahl,Överlärare,C.H. Gustafsson,1884,ca,1881-1889,,,,,,,,,,,,,,,,,,
f1964_1532,https://digimuseum.site/vpimages/f1964_1532_a.jpg,https://digimuseum.site/vpimages/f1964_1532_a_th.jpg,https://digimuseum.site/vpimages/f1964_1532_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1532_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1532_a_th.jpg,,f1964_1532,"Beckman, F.E.",,F.E. Beckman,,Beckman,Järnhandlande; Kyrkvärd,,1866,ca,1865-1868,,"""D. ungkarl i Vadstena""",,,,,,,,,,,,,,,,
f1964_1533,https://digimuseum.site/vpimages/f1964_1533_a.jpg,https://digimuseum.site/vpimages/f1964_1533_a_th.jpg,https://digimuseum.site/vpimages/f1964_1533_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1533_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1533_a_th.jpg,,f1964_1533,"Bergvall, Arvid",,Arvid Bergvall,,Bergvall,Veterinär,Anders Andersson,1874,not.,,1848-1876,15/4 1874,,,,,,,,,,,,,,,,
f1964_1534,https://digimuseum.site/vpimages/f1964_1534_a.jpg,https://digimuseum.site/vpimages/f1964_1534_a_th.jpg,https://digimuseum.site/vpimages/f1964_1534_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1534_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1534_a_th.jpg,,f1964_1534,Bergqvist,,Bergqvist,,Bergqvist,Fotograf,Anders Andersson,1876,ca,1874-1878,,Medlem i Vadstena Arbetareförening,,,,,,,,,,,,,,,,
f1964_1535,https://digimuseum.site/vpimages/f1964_1535_a.jpg,https://digimuseum.site/vpimages/f1964_1535_a_th.jpg,https://digimuseum.site/vpimages/f1964_1535_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1535_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1535_a_th.jpg,,f1964_1535,"Bergman, Emil",,Emil Bergman,,Bergman,Handelsresande,Okänd,1867,ca,1865-1870,,,,,,,,,,,,,,,,,,
f1964_1536,https://digimuseum.site/vpimages/f1964_1536_a.jpg,https://digimuseum.site/vpimages/f1964_1536_a_th.jpg,https://digimuseum.site/vpimages/f1964_1536_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1536_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1536_a_th.jpg,,f1964_1536,"Ekdahl, Malkolm",,Malkolm Ekdahl,,Ekdahl,Sergeant; Fanjunkare,Anders Andersson,1878,ca,1875-1880,,Bodde på Mjölna gård,,,,,,,,,,,,,,,,
f1964_1537,https://digimuseum.site/vpimages/f1964_1537_a.jpg,https://digimuseum.site/vpimages/f1964_1537_a_th.jpg,https://digimuseum.site/vpimages/f1964_1537_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1537_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1537_a_th.jpg,,f1964_1537,"Bergstedt, Frans",,Frans Bergstedt,,Bergstedt,Bokhandlare,Okänd,1864,ca,1862-1867,,Innehade bokhandel i Vadstena 1857-58 som filial till bokh. i Motala,,,,,,,,,,,,,,,,
f1964_1538,https://digimuseum.site/vpimages/f1964_1538_a.jpg,https://digimuseum.site/vpimages/f1964_1538_a_th.jpg,https://digimuseum.site/vpimages/f1964_1538_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1538_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1538_a_th.jpg,,f1964_1538,"Berggren, Nanna",,Nanna Berggren,,Berggren,,Ev. Mauritz Edlund,1895,ca,1893-1899,,Påskrift ”Fröken”,,Ev. fotograf Mauritz Edlund,,,,,,,,,,,,,,
f1964_1539,https://digimuseum.site/vpimages/f1964_1539_a.jpg,https://digimuseum.site/vpimages/f1964_1539_a_th.jpg,https://digimuseum.site/vpimages/f1964_1539_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1539_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1539_a_th.jpg,,f1964_1539,"Ekdahl, Anna",,Anna Ekdahl,,Ekdahl,,Okänd,1864,ca,1862-1868,,,,,,,,,,,,,,,,,,
f1964_1540,https://digimuseum.site/vpimages/f1964_1540_a.jpg,https://digimuseum.site/vpimages/f1964_1540_a_th.jpg,https://digimuseum.site/vpimages/f1964_1540_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1540_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1540_a_th.jpg,,f1964_1540,"Holm, Richard",,Richard Holm,,Holm,Garvare,Okänd,1876,ca,1875-1880,,,,,,,,,,,,,,,,,,
f1964_1541,https://digimuseum.site/vpimages/f1964_1541_a.jpg,https://digimuseum.site/vpimages/f1964_1541_a_th.jpg,https://digimuseum.site/vpimages/f1964_1541_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1541_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1541_a_th.jpg,,f1964_1541,"Björling, Viktor",,Viktor Björling,,Björling,Maskinist,Carl Brandt,1878,ca,1875-1880,,,,,,,,,,,,,,,,,,
f1964_1542,https://digimuseum.site/vpimages/f1964_1542_a.jpg,https://digimuseum.site/vpimages/f1964_1542_a_th.jpg,https://digimuseum.site/vpimages/f1964_1542_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1542_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1542_a_th.jpg,,f1964_1542,"Rydberg, Ingrid",,Ingrid Rydberg,,Rydberg,,Fredrik Borgstedt,1912,ca,1905-1915,,f. Carling,,,,,,,,,,,,,,,,
f1964_1543,https://digimuseum.site/vpimages/f1964_1543_a.jpg,https://digimuseum.site/vpimages/f1964_1543_a_th.jpg,https://digimuseum.site/vpimages/f1964_1543_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1543_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1543_a_th.jpg,,f1964_1543,"Eckerbom, Ester",,Ester Eckerbom,,Eckerbom,,Anders Andersson,1877,ca,1877-1888,-1876,Dotter till grosshandlare Johan Eckerbom,,Trol 1 år 1877 vilket ger bra dat på kortdesign!,,,,,,,,,,,,,,
f1964_1544,https://digimuseum.site/vpimages/f1964_1544_a.jpg,https://digimuseum.site/vpimages/f1964_1544_a_th.jpg,https://digimuseum.site/vpimages/f1964_1544_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1544_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1544_a_th.jpg,,f1964_1544,"Granberg, Alma",,Alma Granberg ,,Granberg ,,Fredrique Holmstedt,1895,not.,,,Alma Granberg 1895 27 okt.,,,,,,,,,,,,,,,,
f1964_1546,https://digimuseum.site/vpimages/f1964_1546_a.jpg,https://digimuseum.site/vpimages/f1964_1546_a_th.jpg,https://digimuseum.site/vpimages/f1964_1546_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1546_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1546_a_th.jpg,,f1964_1546,"Holmberg, Robert Malcolm ",,Robert Malcolm Holmberg,,Holmberg,Ingenjör,,1869,ca,1865-1870,-1849,,,BiS f. 1849,,,,,,,,,,,,,,
f1964_1547,https://digimuseum.site/vpimages/f1964_1547_a.jpg,https://digimuseum.site/vpimages/f1964_1547_a_th.jpg,https://digimuseum.site/vpimages/f1964_1547_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1547_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1547_a_th.jpg,,f1964_1547,"Falkenberg, Agnes",,Agnes Falkenberg,,Falkenberg,,Fredrik Borgstedt,1907,not.,,,10/1 1907,,Datering av kortdesign,,,,,,,,,,,,,,
f1964_1548,https://digimuseum.site/vpimages/f1964_1548_a.jpg,https://digimuseum.site/vpimages/f1964_1548_a_th.jpg,https://digimuseum.site/vpimages/f1964_1548_b_sm.jpg,https://digimuseum.site/vpimages/f1964_1548_a_sm.jpg,https://digimuseum.site/vpimages/f1964_1548_a_th.jpg,,f1964_1548,"Gyllenhammar, E. Adolf H. ",,E. Adolf H. Gyllenhammar,,Gyllenhammar,Jägmästare,Fredrik Borgstedt,1912,ca,1905-1915,,"Född i Malexander 1839, flyttat till Linköping 1906",,Uppgifter BiS,,,,,,,,,,,,,,
