objectid,object_location,,image_back,image_small,image_thumb,sortid,identifier,title,image_alt_text,fullname,firstname,familyname,occupation,creator,date,date_note,date_coverage,date_lifespan,description,note_sources,note_internal,subject,rights,rightsstatement,rightsstatement,location,language,format,source,latitude,longitude,type,youtubeid,vimeoid,object_transcript
1964_1-13,https://digimuseum.site/vpimages/1964_1-13_a.jpg,https://digimuseum.site/vpimages/1964_1-13_a_th.jpg,https://digimuseum.site/vpimages/1964_1-13_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-13_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-13_a_th.jpg,,1964_1-13,"Hjertstedt, Ludvig Magnus",,Ludvig Magnus Hjertstedt,,Hjertstedt,Överläkare,Anders Andersson,1874,ca,1874-1879,1810-1878,Överläkare vid Vadstena hospital,,,,,,,,,,,,,,,,
1964_1-14,https://digimuseum.site/vpimages/1964_1-14_a.jpg,https://digimuseum.site/vpimages/1964_1-14_a_th.jpg,https://digimuseum.site/vpimages/1964_1-14_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-14_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-14_a_th.jpg,,1964_1-14,"Staaf, Carl Axel",,Carl Axel Staaf,,Staaf,Kapten,Okänd,1867,ca,1863-1870,1802-1896,,,,,,,,,,,,,,,,,
1964_1-15,https://digimuseum.site/vpimages/1964_1-15_a.jpg,https://digimuseum.site/vpimages/1964_1-15_a_th.jpg,https://digimuseum.site/vpimages/1964_1-15_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-15_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-15_a_th.jpg,,1964_1-15,"Öhrström, Johan Ludvig",,Johan Ludvig Öhrström,,Öhrström,Borgmästare,Okänd,1868,ca,1863-1869,1811-1877,,,,,,,,,,,,,,,,,
1964_1-16,https://digimuseum.site/vpimages/1964_1-16_a.jpg,https://digimuseum.site/vpimages/1964_1-16_a_th.jpg,https://digimuseum.site/vpimages/1964_1-16_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-16_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-16_a_th.jpg,,1964_1-16,"Holm, Frans",,Frans Holm,,Holm,Guldsmed,Oscar Hakelier,1869,ca,1868-1870,1823-1882,Franz Holm d.y. Johan Frans Oskar,,,,,,,,,,,,,,,,
1964_1-17,https://digimuseum.site/vpimages/1964_1-17_a.jpg,https://digimuseum.site/vpimages/1964_1-17_a_th.jpg,https://digimuseum.site/vpimages/1964_1-17_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-17_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-17_a_th.jpg,,1964_1-17,"Hagsten, A.W.",,A.W. Hagsten,,Hagsten,Hamnfogde,Anders Andersson,1877,not.,,,2 sept 1877,,,,,,,,,,,,,,,,
1964_1-18,https://digimuseum.site/vpimages/1964_1-18_a.jpg,https://digimuseum.site/vpimages/1964_1-18_a_th.jpg,https://digimuseum.site/vpimages/1964_1-18_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-18_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-18_a_th.jpg,,1964_1-18,"Alin, Gustaf",,Gustaf Alin,,Alin,Arrendator,P.J. Bergh,1894,not.,,-1855,"Gustad Adold Alin. Fjettmunna södergård, Ekeby. Arrendator enl. post Riksarkivet",,,,,,,,,,,,,,,,
1964_1-19,https://digimuseum.site/vpimages/1964_1-19_a.jpg,https://digimuseum.site/vpimages/1964_1-19_a_th.jpg,https://digimuseum.site/vpimages/1964_1-19_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-19_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-19_a_th.jpg,,1964_1-19,"Sundén, Anders",,Anders Sundén,,Sundén,Bokhandlare,Anders Andersson,1877,ca,1874-1876,,,,Numreringar 392/23/36 V.J,,,,,,,,,,,,,,
1964_1-20,https://digimuseum.site/vpimages/1964_1-20_a.jpg,https://digimuseum.site/vpimages/1964_1-20_a_th.jpg,https://digimuseum.site/vpimages/1964_1-20_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-20_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-20_a_th.jpg,,1964_1-20,"Lallerstedt, Ivar",,Ivar Lallerstedt,,Lallerstedt,,C.H. Gustafsson,1881,ca,1881-1882,1854-1925,"Född på Starby Kungsgård. Försäkringstjänsteman? Emigrerar 1882 till Amerika, Michigan.",,"Född på Starby Kungsgård. Försäkringstjänsteman (källa Wikipedia, Genline) Emigrerar 1882 till Amerika, Michigan (källa Ancestry)",,,,,,,,,,,,,,
1964_1-21,https://digimuseum.site/vpimages/1964_1-21_a.jpg,https://digimuseum.site/vpimages/1964_1-21_a_th.jpg,https://digimuseum.site/vpimages/1964_1-21_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-21_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-21_a_th.jpg,,1964_1-21,"Lundkvist, Augusta",,Augusta Lundkvist,,Lundkvist,,Okänd,1866,ca,1862-1864,,,,Uttydning ej hundra,,,,,,,,,,,,,,
1964_1-22,https://digimuseum.site/vpimages/1964_1-22_a.jpg,https://digimuseum.site/vpimages/1964_1-22_a_th.jpg,https://digimuseum.site/vpimages/1964_1-22_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-22_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-22_a_th.jpg,,1964_1-22,"Guldström, Charlotta; Lidbom, Clara",,Charlotta Guldström och Clara Lidbom,,Guldström; Lidbom,,Okänd,1867,ca,1864-1870,,"Fru Charlotta Guldström och Frk. Clara Lidbom, porträtterade i Marsstrand",,,,,,,,,,,,,,,,
